source,target
controlador de calidad,quality controller
coordinador de calidad,quality coordinator
coordinador departamento calidad,quality coordinator
responsable calidad desarrollo,quality development manager
director de calidad,quality director
director tecnico director calidad,quality director
director tecnico responsable calidad,quality director
jefe de calidad,quality director
ingeniero calidad medio ambiente,quality engineer
ingeniero de calidad,quality engineer
ingeniero superior calidad,quality engineer
jefe calidad medio ambiente,quality environmental manager
jefe departamento calidad medio ambiente,quality environmental manager
responsable calidad medio ambiente prevencion riesgos,quality environmental manager
responsable calidad medioambiente prevencion,quality environmental manager
responsable calidad medioambiente prevencion riesgos laborales,quality environmental manager
responsable calidad prl medio ambiente,quality environmental manager
responsable departamento calidad medioambiente,quality environmental manager
responsable dpto calidad medio ambiente,quality environmental manager
responsable prl calidad medio ambiente,quality environmental manager
responsable prl calidad medioambiente,quality environmental manager
tecnico calidad ambiental,quality environmental manager
tecnico calidad medio ambiente prevencion,quality environmental manager
tecnico calidad medioambiente prl,quality environmental manager
tecnico de calidad y gestion medioambiental,quality environmental manager
tecnico departamento calidad medio ambiente,quality environmental manager
director calidad seguridad medio ambiente,quality health safety environment manager
jefe calidad seguridad medio ambiente,quality health safety environment manager
jefe seguridad calidad medio ambiente,quality health safety environment manager
responsable calidad medio ambiente seguridad salud,quality health safety environment manager
responsable calidad medioambiente seguridad,quality health safety environment manager
responsable calidad seguridad medio ambiente,quality health safety environment manager
responsable de calidad y seguridad del medio ambiente,quality health safety environment manager
responsable seguridad calidad medio ambiente,quality health safety environment manager
tecnico seguridad calidad medio ambiente,quality health safety environment manager
tecnico seguridad calidad medioambiente,quality health safety environment manager
responsable calidad mejora continua,quality improvement manager
inspector asuntos calidad,quality inspector
inspector calidad aeronautica,quality inspector
inspector de calidad,quality inspector
adjunta departamento calidad,quality manager
encargado de calidad,quality manager
gestor de caldiad,quality manager
jefe calidad medio ambiente prevencion,quality manager
jefe unidad calidad,quality manager
responsable de calidad,quality manager
oficial calidad,quality officer
tecnico de calidad,quality officer
responsable de compras y calidad,quality performance manager
responsable calidad seguridad,quality safety manager
responsable seguridad calidad,quality safety manager
supervisor de calidad,quality supervisor
responsable de sistemas de calidad,quality systems engineer
responsable de sistemas de gestion de calidad,quality systems engineer
responsable sistemas calidad,quality systems engineer
responsable sistemas gestion calidad,quality systems engineer
tecnico calidad tecnico,quality technician
tecnico de caldiad,quality technician
analista cuantitativo,quantitative analyst
jefe cantera,quarry manager
ingeniero radio,radio engineer
locutor,radio host
locutor de radio,radio host
periodista radio,radio journalist
operador radio,radio operator
coloborador programa radio,radio presenter
ingeniero ferroviario,rail engineer
encargado forestal,ranger
jefe forestal,ranger
asesor gestor inmobiliario,real estate advisor
asesor inmobiliario,real estate advisor
administrativo inmobiliaria,real estate agent
agente inmobiliario,real estate agent
agente inmobiliario administrativo,real estate agent
agentee inmobiliario,real estate agent
delegado inmobiliario,real estate agent
gestor activos adjudicados,real estate agent
gestor inmobiliario,real estate agent
vendedor inmobiliario,real estate agent
analista inmobiliario,real estate analyst
